4			
1	21	27	29
20	26	28	41 
0	0	0	0	   
0	0	1	1	   
0	1	2	2	   
0	2	3	3	   
1	3	4	4	   
2	4	5	5	   
3	5	6	6	   
4	6	7	7	   
5	7	8	8	   
6	8	9	9	   
7	9	10	10	   
8	10	11	11	   
9	11	12	12	   
10	11	13	13	   
11	12	14	14	   
11	13	15	15	   
12	13	16	16	   
12	14	17	17	   
13	15	18	18	   
14	15	19	18	   
15	16	20	19	   
15	16	21	20	   
16	17	22	20	   
16	18	23	21	   
17	19	24	22	   
17	19	25	22	   
18	20	26	23	   
18	20	26	23	   
19	20	27	24	   
20	21	27	24	   
20	21	28	25	   
20	22	28	26	   
21	23	29	27	   
21	24	29	27	   
21	25	30	27	   
22	25	30	28	   
22	26	31	28	   
23	26	32	29	   
24	26	33	30	   
24	27	33	30	   
24	27	33	31	   
25	28	34	31	   
25	28	34	32	   
25	29	34	33	   
26	30	35	33	   
27	30	35	34	   
27	31	36	34	   
27	31	37	35	   
27	31	37	35	   
28	32	37	35	   
28	32	38	36	   
29	33	38	37	   
29	34	38	38	   
29	34	39	38	   
30	35	39	38	   
30	35	40	39	   
30	36	40	39	   
30	36	41	40	   
31	36	41	40	   
32	37	41	40	   
32	37	41	41	   
32	38	42	42	   
32	39	43	43	   
32	39	43	43	   
33	40	43	43	   
34	40	43	44	   
35	40	44	44	   
35	41	44	45	   
35	41	44	45	   
36	42	45	45	   
36	42	45	46	   
36	42	46	47	   
37	43	46	47	   
37	43	46	48	   
38	43	46	48	   
38	43	46	48	   
38	44	47	48	   
38	45	48	49	   
38	45	49	50	   
39	45	49	50	   
40	45	49	50	   
40	45	50	50	   
40	46	50	50	   
40	47	50	51	   
41	47	50	51	   
41	47	51	52	   
42	47	52	52	   
42	48	52	52	   
42	48	52	53	   
43	48	52	53	   
43	49	52	53	   
43	49	53	53	   
44	50	54	54	   
44	50	54	55	   
45	50	54	55	   
45	50	54	55	   
45	51	55	55	   
45	52	55	55	   
45	52	55	56	   
46	52	56	57	   
47	52	56	57	   
47	52	57	57	   
47	52	57	57	   
47	53	57	58	   
48	54	57	58	   
48	54	57	58	   
49	54	58	59	   
49	54	59	59	   
49	54	59	59	   
50	55	59	59	   
50	55	59	60	   
50	56	60	60	   
51	56	60	60	   
51	56	60	61	   
52	56	61	61	   
52	56	61	61	   
52	57	62	61	   
52	57	62	62	   
52	57	62	62	   
53	58	62	63	   
54	58	63	63	   
54	58	64	63	   
54	59	64	63	    
54	59	64	63	   
55	59	64	63	   
55	59	64	64	   
56	60	65	65	   
56	60	65	65	   
56	60	66	65	   
57	61	66	65	   
57	61	66	65	   
57	61	67	65	   
58	61	67	66	   
58	61	67	67	   
58	62	67	67	   
58	63	68	67	   
59	63	69	67	   
59	63	69	67	   
59	63	69	68	   
60	63	69	68	   
60	63	69	68	   
60	64	70	69	   
60	64	70	69	   
60	64	71	69	   
61	64	71	69	   
61	65	71	70	   
62	65	71	70	   
62	66	71	70	   
62	66	72	70	   
62	66	73	70	   
63	66	73	70	   
63	66	73	71	   
63	66	73	72	   
63	67	73	72	   
63	67	73	72	   
63	68	74	72	   
64	68	74	72	   
65	68	74	73	   
65	68	75	73	   
65	69	75	73	   
65	69	75	73	   
65	69	75	74	   
66	69	76	74	   
66	69	76	74	   
66	69	76	75	   
66	70	76	75	   
67	71	76	75	   
67	71	76	75	   
68	71	77	75	   
68	71	78	75	   
68	71	78	76	   
68	72	78	76	   
68	72	78	77	   
68	72	78	77	   
69	72	79	77	   
69	72	79	77	   
70	72	79	78	   
70	73	79	78	   
70	73	80	78	   
70	74	80	78	   
71	74	80	78	   
71	74	81	78	   
71	74	81	79	   
71	75	81	79	   
71	75	81	79	   
72	75	81	80	   
73	75	81	80	   
73	75	82	80	   
73	75	83	80	   
73	76	83	81	   
73	76	83	81	   
73	77	83	81	   
74	78	83	81	   
74	78	83	81	   
74	78	84	82	   
74	78	84	82	   
75	79	84	82	   
75	79	84	83	   
76	79	85	84	   
76	79	85	84	   
76	79	86	84	   
76	79	86	84	   
76	80	86	85	   
77	80	86	85	   
77	81	86	85	   
77	81	86	85	   
77	81	87	85	   
77	81	87	85	   
77	82	88	86	   
78	82	88	86	   
79	82	88	87	   
79	82	88	87	   
79	82	88	87	   
79	82	89	87	   
79	83	89	88	   
80	83	89	88	   
80	84	89	88	   
80	84	89	88	   
80	84	90	88	   
80	84	90	88	   
81	85	90	89	   
81	85	91	89	   
81	85	91	90	   
81	85	91	90	   
82	85	91	90	   
82	85	92	90	   
82	86	92	91	   
83	86	92	91	   
83	86	92	91	   
83	87	92	91	   
83	87	92	91	   
83	87	93	91	   
84	88	93	92	   
84	88	93	92	   
84	88	93	92	   
84	88	93	93	   
84	88	94	93	   
85	88	94	93	   
85	89	95	93	   
86	89	95	94	   
86	89	95	94	   
86	90	95	94	   
86	90	95	94	   
86	90	96	94	   
87	91	96	95	   
87	91	96	95	   
87	91	96	95	   
87	91	96	96	   
87	91	96	96	   
88	91	97	96	   
88	92	97	96	   
88	92	98	97	   
88	92	98	97	   
88	92	98	97	   
89	93	98	97	   
90	93	98	97	   
90	94	99	97	   
90	94	99	98	   
90	94	99	98	   
90	94	99	98	   
90	94	99	99	   
91	94	99	99	   
91	95	100	99	   
91	95	100	100	   
91	95	100	100	   
91	95	100	100	   
92	96	101	100	   
92	96	101	100	   
92	97	102	100	   
92	97	102	101	   
92	97	102	101	   
93	97	102	101	   
94	97	102	102	   
94	97	102	102	   
94	98	103	102	   
94	98	103	102	   
94	98	103	103	   
94	98	103	103	   
95	98	103	103	   
95	99	103	103	   
95	100	104	103	   
95	100	104	104	   
95	100	104	104	   
96	100	105	104	   
96	100	105	104	   
96	100	105	105	   
96	101	105	105	   
96	101	106	105	   
97	101	106	106	   
97	101	106	106	   
97	101	106	106	   
98	102	106	106	   
98	103	107	106	   
98	103	107	106	   
98	103	107	107	   
99	103	107	107	   
99	103	107	107	   
99	103	107	108	   
99	104	108	108	   
99	104	108	108	   
100	104	108	109	   
100	104	108	109	   
100	104	108	109	   
100	105	109	109	   
100	106	109	109	   
101	106	110	109	   
101	106	110	110	   
101	106	110	110	   
